epoch,train_loss,test_loss
1,-0.8159652188595603,-0.9319154338088147
2,-0.9227359695995555,-0.9345170838888301
3,-0.933365952688105,-0.9523720391961031
4,-0.9397151590796078,-0.9371651233628738
5,-0.9450746486467474,-0.958153065138085
6,-0.9490554407764884,-0.9544634812793066
7,-0.9498152360495399,-0.9465782025525736
8,-0.9536179154760698,-0.9523863550535469
9,-0.9531352963868309,-0.9710943377295206
10,-0.9547977739221909,-0.951792979101802
11,-0.9549239964344922,-0.9721480987099714
12,-0.9581063458498786,-0.9583007728637651
13,-0.9578679164016948,-0.9727868127268414
14,-0.9592475845533259,-0.9601815118346103
15,-0.9594724155173582,-0.974742522211962
16,-0.9605871716667624,-0.9641211140987485
17,-0.9610296614029828,-0.9718639262193858
18,-0.9614451218352599,-0.9694134892419327
19,-0.9629661122490378,-0.9683813119350477
20,-0.963733800088658,-0.9667581709318382
21,-0.9606818104491515,-0.9649551543385484
22,-0.9611777061574599,-0.9737220043359801
23,-0.9638868119436151,-0.9500300437905068
24,-0.9625401978632983,-0.9560743745676307
25,-0.9645370444129495,-0.9689212293125863
26,-0.9643867067028494,-0.9711204627225566
27,-0.9633398069353665,-0.9726634990337283
28,-0.9632190781481126,-0.9658781012823415
29,-0.9651412237391752,-0.9742135923962261
30,-0.9667196935765884,-0.9790305965168532
31,-0.9660171092959011,-0.9718580359636351
32,-0.962609678997713,-0.975929349522258
33,-0.9641106553638683,-0.9753204146096873
34,-0.9647481585951413,-0.9656517809906672
35,-0.9638094683254467,-0.9771958862626275
36,-0.9644611585841459,-0.9598977289227553
37,-0.9646290715301739,-0.9731759516305701
38,-0.9646850050196928,-0.9733809249345646
39,-0.9653013198515948,-0.9681710893331572
40,-0.9655710082194384,-0.9667999754118365
41,-0.9658154020589941,-0.9535925994778789
42,-0.9644754701502183,-0.9739568085864533
43,-0.9646942573435167,-0.9662386784719866
44,-0.965137186050415,-0.9746138834676077
45,-0.9657121764211094,-0.9747515925141268
46,-0.9654256498112398,-0.976024779192237
47,-0.9667221007627599,-0.9542911399935567
48,-0.9653140316290014,-0.9727936039137286
49,-0.9664191240422866,-0.9744521452937015
50,-0.9662788011747248,-0.9783349505690642
