epoch,train_loss,test_loss
1,-0.7551878861409119,-0.9097679867300876
2,-0.9074943518638611,-0.8932058541580689
3,-0.9159116195229923,-0.9393840139688447
4,-0.9268758191080655,-0.9310610778803049
5,-0.930173914011787,-0.9539149726546088
6,-0.9337875685271095,-0.9152561275071875
7,-0.9372230998207541,-0.9459859721882399
8,-0.9390983546481413,-0.9669356400883475
9,-0.9423776942842147,-0.8735168840996055
10,-0.9454360253670636,-0.9649377786835959
11,-0.9452357264827279,-0.9644206271615139
12,-0.9510456336947049,-0.9502394861953203
13,-0.9498669108222513,-0.954683145672776
14,-0.9470449696568882,-0.9549819192220999
15,-0.9505624081106747,-0.9677712210389071
16,-0.9519417020853828,-0.9500316967797834
17,-0.9516400444507599,-0.9687028674192206
18,-0.9533040720574996,-0.9645474249540373
19,-0.954572142011979,-0.9055724548739056
20,-0.9552974772453308,-0.9726406468208446
21,-0.9572129765678855,-0.9476066922032556
22,-0.956425817784141,-0.9661650510721429
23,-0.9585283937874962,-0.9678286702133888
24,-0.9573755124036003,-0.9613307742185371
25,-0.9586048634613261,-0.9685480688893517
26,-0.9588429227296044,-0.969723438384921
27,-0.9579941118464751,-0.9682705808517544
28,-0.9586474286808687,-0.9508016023524972
29,-0.9594293024259455,-0.9713177802950836
30,-0.9616063791864059,-0.9577963898348254
31,-0.9607176214105942,-0.9684852060883544
32,-0.9615817065799938,-0.9719574612240459
33,-0.9628569140153773,-0.9780375126489373
34,-0.9652151609869565,-0.9771304647589839
35,-0.9623988441859974,-0.9521642044533131
36,-0.9615627161194297,-0.9735589062058648
37,-0.9603162509553572,-0.9551860701206119
38,-0.9623167339493247,-0.9687873495179553
39,-0.961674932311563,-0.9545608806055645
40,-0.9612967153156505,-0.9680766470210497
41,-0.9633901891287635,-0.9716780155204063
42,-0.962738318864037,-0.9732194674569506
43,-0.9635305108042325,-0.9758967740591182
44,-0.9655988343322979,-0.967219324583231
45,-0.9666175566701328,-0.9819555261800456
46,-0.9663846144956701,-0.9710605926291888
47,-0.9678391664869646,-0.9807355854400369
48,-0.9670990056150099,-0.9547680224790129
49,-0.9620404878784629,-0.9580836957970331
50,-0.9509386705125079,-0.9550398816202962
