lr,hidden_features,num_layers,num_bins,mean_error,std_error,median_error,final_train_loss,final_test_loss,total_parameters,experiment_id
0.007,6,3,8,0.03921108931564029,0.04170784988715637,0.02483392447933012,-0.9657491882408367,-0.9788839884275614,1239,3
0.007,6,2,8,0.03960767671010018,0.0477427361084327,0.02434835434287319,-0.9623026518260731,-0.9783795001894928,826,1
0.007,10,2,10,0.04383065041198939,0.05529443179658936,0.02598572983279733,-0.9671328341259676,-0.9790079809898554,1798,10
0.007,6,2,10,0.0439443647142432,0.048555916950127495,0.027753896836016204,-0.9579578088311588,-0.9733680718166884,910,2
0.007,10,2,8,0.049962928332562696,0.06907395170975004,0.028090425813522796,-0.9622726765099694,-0.972118386002474,1666,9
0.007,8,3,8,0.05262984931868111,0.08164801440606081,0.026680673913818904,-0.9552726673378664,-0.9707424848578697,1821,7
0.007,10,3,8,0.060495038859932015,0.09359292615131075,0.028651622417345805,-0.9623437266490039,-0.96450242899185,2499,11
0.007,8,2,8,0.06436474234956034,0.062144847811040696,0.048756115649029944,-0.9568067732278038,-0.9551628809335619,1214,5
0.007,6,3,10,0.0646762890928368,0.08086418512278516,0.03765533564901019,-0.8186496219915502,-0.8557473999816317,1365,4
0.007,8,2,10,0.0675435951587241,0.06613686114783955,0.043772055602544845,-0.958620031861698,-0.9533563998549484,1322,6
0.007,8,3,10,0.07224846921818759,0.09904762639825432,0.034559562897841595,-0.9623428693238427,-0.9559838850830876,1983,8
0.007,10,3,10,0.10242718231179024,0.09412426388637103,0.06715816989919851,-0.9611196297757766,-0.9107503484847934,2697,12
