epoch,train_loss,test_loss
1,-0.746669695769601,-0.9076907801073651
2,-0.9118911147117614,-0.8677630698265031
3,-0.9229858162122614,-0.9198980880338092
4,-0.9314928162097931,-0.9557098017182462
5,-0.9365976490693934,-0.9356109329434328
6,-0.9409218386341544,-0.9600950213365776
7,-0.9451395163115333,-0.9644112983415293
8,-0.9464383779553807,-0.9548277911751769
9,-0.9450729139412151,-0.9312007849992707
10,-0.9484221731213962,-0.9695852798777957
11,-0.9509280943870544,-0.9677339889282404
12,-0.9495714605555815,-0.9638115071973136
13,-0.9539224544693442,-0.9623151631549347
14,-0.9525566727974836,-0.9508465466111206
15,-0.9514275450566235,-0.9623532264731651
16,-0.953365462808048,-0.9588365489660308
17,-0.9561593163013459,-0.9685420387013014
18,-0.9563166503345265,-0.9659564754297567
19,-0.9366218172101414,-0.9617962853160016
20,-0.9553746752879199,-0.966726414062256
21,-0.9566327703700346,-0.9688699446445288
22,-0.9570587889587178,-0.9731864572264427
23,-0.9589101770344902,-0.9643600878327392
24,-0.9603191983699798,-0.965133950183558
25,-0.9602197975270889,-0.973467181865559
26,-0.9611106472856858,-0.9703117218128471
27,-0.9584189536992241,-0.968554338327674
28,-0.9583589615541346,-0.9521442461845486
29,-0.9594349132565891,-0.9701981482117675
30,-0.9592382250813877,-0.9664527879204861
31,-0.960664753633387,-0.9661945429652237
32,-0.9612973232830272,-0.9676862853904104
33,-0.9619677966482499,-0.9408062873884689
34,-0.9624711014242733,-0.9698035208291785
35,-0.9623344995695002,-0.9788661461929943
36,-0.9615916879738078,-0.979488382505816
37,-0.9653969842546126,-0.954422432045604
38,-0.9650687105515424,-0.9526384224032247
39,-0.9659542416123783,-0.980433003361835
40,-0.9665687760886024,-0.9678127572980038
41,-0.9660586348000695,-0.973205418919408
42,-0.9667461732555839,-0.9776233566361804
43,-0.966326799322577,-0.9781370422174764
44,-0.9675540804161745,-0.9761331417532855
45,-0.9690696932287777,-0.9728334896786268
46,-0.967027945097755,-0.9727775267390317
47,-0.9680881204324611,-0.9443512219329213
48,-0.9690722982322468,-0.9781171690586001
49,-0.9648380050238441,-0.9710197559622831
50,-0.9675474455076105,-0.9700393234574518
