epoch,train_loss,test_loss
1,-0.8200787369337152,-0.920415486915167
2,-0.9203796015066259,-0.9471733979014463
3,-0.9318786054499009,-0.9546070539674093
4,-0.9343289828300476,-0.8664584134207215
5,-0.938645491880529,-0.9439620259889336
6,-0.9398071713307324,-0.9601604821377022
7,-0.9445625222430509,-0.9495259427747061
8,-0.9461902151388281,-0.9532916112001553
9,-0.9443913466790144,-0.9228727595750675
10,-0.9505597127886379,-0.958786767998407
11,-0.9500967230516322,-0.961930775919626
12,-0.9532306488822488,-0.9685039139071177
13,-0.9530512041905347,-0.964752017342767
14,-0.953827915542266,-0.9675656515498494
15,-0.9543058980913723,-0.965782875723617
16,-0.9559490374256583,-0.9578453497138134
17,-0.9569269969884087,-0.940979348019112
18,-0.955346781576381,-0.9452340246633042
19,-0.9566324562184951,-0.968233901608822
20,-0.9583017959314234,-0.9716787923214047
21,-0.957239639338325,-0.968569477907447
22,-0.958593846208909,-0.9540127305097358
23,-0.9597111877273111,-0.9448371034721995
24,-0.9598743403659148,-0.9710552758948747
25,-0.95939486209084,-0.967950214203014
26,-0.9604402311409221,-0.9548921643301498
27,-0.9606741782496957,-0.9699060455311176
28,-0.9610516137936536,-0.9724269707535589
29,-0.9600113467609181,-0.9671562300171963
30,-0.9611524945146898,-0.9693516478289005
31,-0.9620057252575369,-0.9643612483213114
32,-0.9617348647117615,-0.9632942018120788
33,-0.9614094335892621,-0.9719559526720712
34,-0.9614292693839354,-0.9638843070629031
35,-0.9614715746571036,-0.9381295922190644
36,-0.9612985698615804,-0.9745721936225891
37,-0.9604261860426735,-0.9651043108729429
38,-0.963163841752445,-0.9723041889279388
39,-0.9511987519264221,-0.9663265548473181
40,-0.9503312047088848,-0.972385365879813
41,-0.9611062598228455,-0.9731816616169242
42,-0.9617302024364471,-0.9684078158334244
43,-0.9627119240340064,-0.973973132843195
44,-0.9635185158252716,-0.9725796772990116
45,-0.9652155517129337,-0.9720470138067423
46,-0.9667712058039273,-0.9680965556654819
47,-0.9580489978369544,-0.9788946047771808
48,-0.9678130769729614,-0.955212810566259
49,-0.9673263033698587,-0.9746250474175742
50,-0.9659611044911778,-0.976345421408498
