epoch,train_loss,test_loss
1,-0.7693359320698415,-0.8828477240579072
2,-0.8929210057679344,-0.9220739696608033
3,-0.9096205876855289,-0.9243996340868085
4,-0.9179595905191759,-0.93896540070689
5,-0.925045873487697,-0.9270570122918417
6,-0.9289139740607317,-0.9348697866811309
7,-0.9296871730860542,-0.9442791918682497
8,-0.9314605277426102,-0.9489723938842153
9,-0.9343704790227554,-0.9505570977233176
10,-0.9363004782620599,-0.9471681483263193
11,-0.9376416287001441,-0.9518515901510105
12,-0.9409937541625079,-0.9562509022479834
13,-0.9421147859797758,-0.9456238661394563
14,-0.943277647004408,-0.9497579265472501
15,-0.9447461041282205,-0.9586218869963358
16,-0.9451054824801053,-0.9569045506244482
17,-0.9462493286413305,-0.9568869213032168
18,-0.9473232293830198,-0.9506013172310452
19,-0.9471563691251418,-0.9586843217528144
20,-0.9487409504722146,-0.9538033166597056
21,-0.9470244261096505,-0.9532568453356277
22,-0.9484849845661837,-0.9562552493672039
23,-0.9471531196201549,-0.9612248722203942
24,-0.9495341700666091,-0.9467503955197889
25,-0.9498185701931224,-0.952860463913097
26,-0.9499357424062841,-0.9597126309261765
27,-0.9520336806072909,-0.9515595039655996
28,-0.9514337904313032,-0.9618459041035452
29,-0.9513577679325552,-0.9495501232701679
30,-0.9516708917477552,-0.9667070162850757
31,-0.9521734479595633,-0.9611094271720841
32,-0.9503216244893915,-0.9651873994012211
33,-0.9522293859369615,-0.9593711064305417
34,-0.9512358820438385,-0.9632554032081782
35,-0.9522105280090781,-0.9638749715200691
36,-0.9522224066537969,-0.9655714805043021
37,-0.9525766701558057,-0.9598620266415352
38,-0.9514975381598753,-0.938560625633528
39,-0.952607426923864,-0.9654922172080639
40,-0.9536930740580839,-0.9587619878524958
41,-0.9533305008972393,-0.9653772104618161
42,-0.953016279444975,-0.9591440819030584
43,-0.954007031917572,-0.9644706627657247
44,-0.9538860743887284,-0.9661383668350619
45,-0.9532214189978206,-0.9624950531610222
46,-0.9534478648971109,-0.9445121614045875
47,-0.9534156013236327,-0.9672967960668165
48,-0.953860484011033,-0.9628846661989079
49,-0.9538679563297945,-0.9571483976619188
50,-0.9546798246748307,-0.9554776084977527
