epoch,train_loss,test_loss
1,5.9176577682915426,1.2390267268703685
2,0.7722703112815832,0.22271897189983456
3,0.11251034224151116,-0.09965096277251534
4,-0.19802876020141943,-0.17253821595482935
5,-0.2127278719778883,-0.40401981645756413
6,-0.4219441959920331,-0.3427056076478709
7,-0.4962531431637546,-0.5400095677731158
8,-0.5033970106737037,-0.42050082586012755
9,-0.46056462514092494,-0.5028944219567466
10,-0.44685464609544556,-0.6348719313588159
11,-0.6385735999736198,-0.6925411125320827
12,-0.6790564230736628,-0.7197336910305221
13,-0.7018368316525565,-0.7404836437993909
14,-0.7170785010132746,-0.7444044807957606
15,-0.7090483339543038,-0.7212230172612205
16,-0.7444261840705995,-0.7597066420368824
17,-0.7621219356099885,-0.7894188889553421
18,-0.7769733307300005,-0.8089790098470836
19,-0.7912713009354554,-0.8102052584862648
20,-0.7793603214041802,-0.8116281267522545
21,-0.783436340197785,-0.7901048231806365
22,-0.7990328047911447,-0.8174221421776295
23,-0.8038719013831536,-0.820395649502963
24,-0.8145021372970115,-0.8323762176348589
25,-0.8244172433861121,-0.8461993847411037
26,-0.8316751406683748,-0.8497775378843623
27,-0.8249264762349042,-0.85803907480307
28,-0.8257041069874285,-0.8697461831437443
29,-0.8398420028501731,-0.8652309683142008
30,-0.8472281746045435,-0.858561151778586
31,-0.8538493959284119,-0.8753629008430428
32,-0.858726651019963,-0.8744142204078086
33,-0.8664318385185804,-0.9076687972039086
34,-0.8856447799906905,-0.9283684050758073
35,-0.8665211773887956,-0.9115481616058244
36,-0.8905849382734227,-0.910413693709763
37,-0.8761103451025523,-0.9173276059253224
38,-0.9038960295517031,-0.9303786656787498
39,-0.9129033546815527,-0.9363713643605799
40,-0.9157282036126203,-0.9415239027364389
41,-0.9160312471690512,-0.9480162243845113
42,-0.9147994455776678,-0.9284641010330755
43,-0.9129523503336501,-0.9442618984614622
44,-0.9204822023226498,-0.906318192481486
45,-0.9176056584552791,-0.9293451059113794
46,-0.9112725672977311,-0.9589105603021312
47,-0.9175092869390108,-0.939686842561531
48,-0.9251961024608293,-0.9626383734517333
49,-0.933809389957541,-0.9546880389058345
50,-0.9344840195131882,-0.9626745253375417
51,-0.9337013936106194,-0.9709815016435936
52,-0.9377989394641213,-0.9093012447650115
53,-0.9431446126257395,-0.9593578930117774
54,-0.9464938793229477,-0.9744979227438518
55,-0.953015844668842,-0.9770601576213238
56,-0.9550196622189779,-0.9689362699566441
57,-0.9565536731735189,-0.9802616583405908
58,-0.9587352352618809,-0.98132165281083
59,-0.9575951748887094,-0.972857330242369
60,-0.9622981434625695,-0.9878716123442931
61,-0.9661213211420822,-0.9691045439767146
62,-0.9678682350414864,-0.9930772688716599
63,-0.9699910837692692,-0.9810289328619075
64,-0.9727036452039759,-0.9723136780510176
65,-0.9736825472089295,-0.9945415437901742
66,-0.9749684728523518,-0.9946785804214839
67,-0.9772004267047966,-0.9877362678863693
68,-0.977821070236638,-0.9905524166752251
69,-0.9803962567792838,-0.995323504502456
70,-0.9826302834330721,-0.9914897891784996
71,-0.9838171794919982,-0.9913525534539449
72,-0.9868215853546528,-1.0070590795408743
73,-0.9880906989101581,-1.0064730318422102
74,-0.9907351257137977,-1.0094268737430763
75,-0.9936505429741097,-0.9980303790776294
76,-0.9954330839646985,-1.0194563943155288
77,-0.9978099820914602,-1.0026744693492256
78,-0.9997592571115059,-1.013324266407677
79,-1.0011718381184938,-1.0206909337980552
80,-1.003265925453789,-1.0248604180869796
81,-1.0053993321751389,-1.0193128174253494
82,-1.007059786253606,-1.0239674409552646
83,-1.0089838123203774,-1.0251588725036729
84,-1.0110379065469044,-1.02072676831583
85,-1.0122281511322706,-1.035943676539579
86,-1.0134598612558878,-1.0240580581204883
87,-1.0150294679819993,-1.028597904324735
88,-1.016695299386797,-1.0316544698214367
89,-1.0179971590139945,-1.038351098367938
90,-1.0191252054278612,-1.0364393520299282
91,-1.0202377288854232,-1.038835043742388
92,-1.0211977755090387,-1.0293067926382042
93,-1.022582755172144,-1.041465641492056
94,-1.0239629225075064,-1.04001524629955
95,-1.0239961794535077,-1.0432161762865433
96,-1.0257018599149665,-1.0427432651583854
97,-1.0261358216087868,-1.0354991182176327
98,-1.0269114946250133,-1.0336424973713862
99,-1.0274935129656255,-1.0336816051383677
100,-1.0283694602435844,-1.0404886323895064
