epoch,train_loss,test_loss
1,1.6834062726771541,-0.06577814810825099
2,-0.01569595730251004,-0.35585200416366014
3,-0.3057719820508476,-0.23478626832445454
4,-0.31682170809853094,-0.1950654074253273
5,-0.3094719017192893,-0.4940445698502095
6,-0.4616556285829552,-0.5240263228110791
7,-0.5273591300648125,-0.6514610654480577
8,-0.5972744381185451,-0.6444017133634194
9,-0.6625600235825433,-0.7081308302607819
10,-0.6846196910304139,-0.7251894209015822
11,-0.7076255744917596,-0.7245122384210038
12,-0.7286089087827952,-0.705201933131817
13,-0.7641049923324295,-0.77986613013575
14,-0.7911622374117555,-0.7726455767426017
15,-0.8216014383502281,-0.8532750676974095
16,-0.8535138028687982,-0.8721867016939376
17,-0.8701323079890756,-0.8897192787773169
18,-0.8805333703846917,-0.8966411697128375
19,-0.8893599766773655,-0.901795601319687
20,-0.8967588278705588,-0.8976908321571838
21,-0.9038201732657238,-0.917697793692859
22,-0.9089067402581675,-0.9241680508612976
23,-0.9142253525487195,-0.9266323259945819
24,-0.9191927384234126,-0.9243886187138615
25,-0.9238385751752868,-0.9291053438565532
26,-0.9282712761573154,-0.9373920597771735
27,-0.9325109047639696,-0.9385404446998249
28,-0.9327095378767756,-0.9599013159070608
29,-0.947565264116667,-0.9657500872560125
30,-0.9538975737105749,-0.9668387994901261
31,-0.9591879973069151,-0.9656241590748367
32,-0.9649544901534417,-0.9808812270754688
33,-0.9700541194177326,-0.986319288611412
34,-0.973467432121013,-0.9607829955381059
35,-0.9768109087206672,-0.9958121010289868
36,-0.9798110228224366,-1.000968516705742
37,-0.9825286676365553,-1.0008735704989056
38,-0.9854329847999619,-1.0045490236793972
39,-0.9871930857288077,-1.0101142867973691
40,-0.989658495349,-1.009563917545252
41,-0.9921288455873275,-1.0020812999317263
42,-0.9945077666712749,-1.0139528785676477
43,-0.995812518527805,-1.0058059750995743
44,-0.9977778336967379,-1.0047668959729297
45,-0.9991051796314202,-0.9976001932021904
46,-1.0010366166253946,-1.005303654184012
47,-1.0025965998056812,-1.0138996132099587
48,-1.003623561293883,-1.0208520659661944
49,-1.0054547703827768,-1.0207787000227706
50,-1.0062713131172678,-1.020959139752294
