epoch,train_loss,test_loss
1,-0.7860974532300059,-0.915031151785407
2,-0.907847456371083,-0.9320111113925312
3,-0.9242942130565643,-0.9115233501029569
4,-0.9320836750198813,-0.9478886681933736
5,-0.9382702972608454,-0.9448206047679103
6,-0.9406452767989215,-0.948742606334908
7,-0.9444927862812491,-0.9590637780899225
8,-0.9456830704212189,-0.9643978728804478
9,-0.9468976453472586,-0.9647482070118882
10,-0.9497882257489597,-0.9603659469720929
11,-0.9483106813010047,-0.9581883996032005
12,-0.9515648135718178,-0.967693204657976
13,-0.9528225097235511,-0.9716716974280601
14,-0.9513104604973512,-0.9697081909623257
15,-0.9544421829896814,-0.9626298075498536
16,-0.954902074547375,-0.9581574208514635
17,-0.955894544545342,-0.969972985705664
18,-0.9551780022593106,-0.9534320676742598
19,-0.9572046620705549,-0.9447775354219038
20,-0.957450167501674,-0.9690708179806554
21,-0.9574102850521312,-0.9697695122901784
22,-0.95652512865908,-0.9705071515815202
23,-0.9566675024172839,-0.9641018456497857
24,-0.957105755665723,-0.9352139014837354
25,-0.9594828921205857,-0.9659492261187975
26,-0.9577039199015673,-0.960631158601406
27,-0.9586483996054705,-0.9635796530302181
28,-0.9586617473293754,-0.9596946122341378
29,-0.9599002718925476,-0.9603948060163232
30,-0.9593842982544618,-0.9628336602865264
31,-0.9602249806067523,-0.9652317607818648
32,-0.9595874523415285,-0.9619144158307896
33,-0.959667731032652,-0.9743279561053875
34,-0.9609321725368499,-0.9642193146916322
35,-0.9605063513447256,-0.9732658556727476
36,-0.9593869895093581,-0.9721002803292386
37,-0.9607655877225539,-0.970114477429279
38,-0.9606917830775766,-0.9727813288222912
39,-0.9595675732808955,-0.965088958934296
40,-0.959984396836337,-0.9623654378014942
41,-0.9612520031368031,-0.9543176758427953
42,-0.9603911154410418,-0.97048495224742
43,-0.9617223352544448,-0.9740538289380628
44,-0.9620192217826843,-0.9724161138368207
45,-0.9617034342709709,-0.9726586312055587
46,-0.9610000327054192,-0.9727087271767993
47,-0.9607547776839312,-0.9745974016744037
48,-0.9621688062303206,-0.9709940628949986
49,-0.9620688265211442,-0.9657227018544841
50,-0.9623428693238427,-0.9559838850830876
