setup_id,setup_params,true_mean,pred_mean,relative_error,mse,mae,r2,mean_uncertainty,n_samples
0,"[0.1, 0.1, 0.1125]",0.36064035272994266,0.2876694055828694,0.20233716102852273,0.03324747127044466,0.16043257931466548,-0.19069634426232485,0.12748667091522561,500
1,"[0.1, 0.1444444444444444, 0.00075]",0.0743328057593975,0.15856448356773648,1.133169474986423,0.008352864705486763,0.084231677808339,-5.640382139554315,0.1274866178738958,500
2,"[0.1, 0.1444444444444444, 0.0041617914502878]",0.12008373449790806,0.16263543558529703,0.3543502183855555,0.004842274176420492,0.0565932579440551,-0.5972526694715279,0.12748661414355872,500
3,"[0.1, 0.1444444444444444, 0.03]",0.22585113024023667,0.19346560464991744,0.14339323483543595,0.013565642802557454,0.09795302739537876,-0.08379302594021687,0.12748659232489798,500
4,"[0.1, 0.1444444444444444, 0.0720843424240426]",0.3324736040175293,0.2436806723629252,0.26706760449845074,0.030416936592532678,0.1516614824326193,-0.34989888290420246,0.12748658111451935,500
5,"[0.1, 0.1444444444444444, 0.1505]",0.4050077337981697,0.3372462915012953,0.16730900417213354,0.032760058299195524,0.16151590448007347,-0.1630055554544576,0.12748664064273707,500
6,"[0.1, 0.1888888888888888, 0.05]",0.28308110554307964,0.22156487759469354,0.2173095433454461,0.020629492961168006,0.12172703691069836,-0.22464772272794753,0.12748653007846295,500
7,"[0.1, 0.1888888888888888, 0.1125]",0.36214245826157343,0.29613992264208866,0.18225571813304017,0.028393392501245368,0.14939283803564676,-0.18123410717355015,0.12748654447508784,500
8,"[0.1, 0.1888888888888888, 0.22525]",0.4280211546732846,0.43067330390758946,0.006196303952233936,0.03280602869326128,0.15487521969052914,-0.0002144546076612297,0.12748673860930054,500
9,"[0.1, 0.2333333333333333, 0.00075]",0.11368384721117443,0.1670350006269558,0.46929401169665175,0.006776837124868195,0.0693371245274259,-0.7241703821609815,0.127486531212337,500
10,"[0.1, 0.2333333333333333, 0.0041617914502878]",0.13724408346640218,0.17110595264451628,0.2467273331977933,0.004678470334353984,0.0551530744254454,-0.3246536753886258,0.12748652736297345,500
11,"[0.1, 0.2333333333333333, 0.05]",0.2895202921794674,0.22580013612430325,0.22008873151723019,0.02035124251919875,0.11978524800604581,-0.24923345514278794,0.1274864948586227,500
12,"[0.1, 0.2333333333333333, 0.0720843424240426]",0.3351179695714044,0.2521511894221443,0.24757483992762655,0.02574092708642897,0.1380023008587695,-0.36502761953999996,0.1274864919643623,500
13,"[0.1, 0.2333333333333333, 0.1125]",0.36900416027112615,0.30037518117169826,0.18598429131302957,0.030106552460389967,0.15605238920254696,-0.18545529176257292,0.12748650816506268,500
14,"[0.1, 0.2333333333333333, 0.22525]",0.43902432035267996,0.43490856243719916,0.009374783197492726,0.029205183017480665,0.14575834645275001,-0.0005803522636556036,0.127486700332633,500
15,"[0.1, 0.2333333333333333, 0.2999999999999999]",0.4733572078483764,0.5241003163138835,0.10719834102489784,0.03219245119548645,0.13874960895361527,-0.08693695937293189,0.1274869470138011,500
16,"[0.1, 0.2333333333333333, 0.3]",0.4735969170031693,0.5241003163138839,0.10663793709619362,0.030760190697299544,0.13490899382141652,-0.09041580104129521,0.1274869470138011,500
17,"[0.1, 0.2777777777777778, 0.000625]",0.09511966418771577,0.17112110906647066,0.79900867541628,0.00821816198825748,0.07784911441818375,-2.365420129236673,0.1274865149385993,500
18,"[0.1, 0.2777777777777778, 0.001]",0.1464417655163391,0.17156855933675502,0.1715821440420354,0.007615337270873626,0.0749168435757184,-0.09040054980188916,0.12748651449847373,1500
19,"[0.1, 0.2777777777777778, 0.0173205080756887]",0.22534282851761775,0.19104220133580882,0.15221529739950995,0.008411923990907788,0.08025079163099423,-0.16260807890268314,0.1274864976625464,500
20,"[0.1, 0.3222222222222222, 0.05]",0.3093077338957561,0.23427065318352236,0.24259683823992131,0.019571392843430152,0.11852291121554318,-0.4038901370758632,0.1274864782391129,500
21,"[0.1, 0.3222222222222222, 0.06]",0.31909896327931886,0.24620266039110567,0.2284441787420119,0.020835771508361786,0.1230006210574219,-0.3423466709679084,0.1274864755512641,500
22,"[0.1, 0.3666666666666667, 0.000625]",0.09883205011951415,0.17959162612568996,0.8171394576670372,0.008833999517793893,0.08175376854784831,-2.82111518504668,0.12748653592170506,500
23,"[0.1, 0.3666666666666667, 0.000875]",0.12505390889691592,0.17988992630587958,0.438498992216037,0.008442959816966703,0.07831209400458,-0.5531649817133619,0.12748653561930062,500
24,"[0.1, 0.3666666666666667, 0.03]",0.2476048602433575,0.21464189729796562,0.1331272802226966,0.010738358688894195,0.08888857028475554,-0.11257555354401894,0.12748650767031375,500
25,"[0.1, 0.3666666666666667, 0.07575]",0.3465073733258714,0.2692308302726589,0.22301557418918855,0.024694504036938937,0.1338444280265283,-0.3189507643265346,0.12748649292062716,500
26,"[0.1, 0.3666666666666667, 0.1125]",0.3659069471705255,0.3130809567605272,0.14437000820779566,0.02496131213546153,0.1364825771711894,-0.12586800959773337,0.12748650687532367,500
27,"[0.1, 0.3666666666666667, 0.2999999999999999]",0.46802744159577425,0.5368060919027126,0.14695430806982027,0.03223833161423607,0.1367154415771411,-0.17196932405444687,0.12748693591240043,500
28,"[0.1, 0.4111111111111111, 0.00075]",0.10756893894896435,0.18397603474539442,0.710308100460116,0.009230890488350922,0.0815700779892787,-1.7206922870592107,0.1274865731698182,500
29,"[0.1, 0.4111111111111111, 0.05]",0.30978934441591943,0.24274117024274178,0.21643149842766898,0.018791681825937552,0.11664203796801388,-0.3144506974543759,0.1274865333798414,500
30,"[0.1, 0.5, 0.0005]",0.09367189287618041,0.19214825162442412,1.0512902559310024,0.011676966903245836,0.09848877833945147,-4.899324152241306,0.1274867021048057,500
31,"[0.1, 0.5, 0.000625]",0.09671646830433997,0.19229740171451892,0.9882590338888502,0.011090115481251942,0.09558093341017895,-4.674432969005632,0.12748670194666364,500
32,"[0.1, 0.5, 0.0720843424240426]",0.33976459402340453,0.27756274059980235,0.1830733769410466,0.021430358784918106,0.12603485170251413,-0.22031815216706274,0.12748665507515547,500
33,"[0.107452, 0.390196, 0.048248]",0.310873027892324,0.23958519110191062,0.22931495530694787,0.018939663137647913,0.1186710921934475,-0.36672412718206937,0.1274865010821877,300
34,"[0.110924, 0.360428, 0.006221]",0.1936255372993528,0.18703402602154862,0.034042570155339326,0.007868981470445636,0.07336118402308905,-0.0055520842388174785,0.12748650589190133,300
35,"[0.118056, 0.249379, 0.001368]",0.10750600403709963,0.17154894258761147,0.5957149385932125,0.006312768687409327,0.06725794830421897,-1.8548149537162182,0.1274864905752935,300
36,"[0.121995, 0.379334, 0.005006]",0.17358972057740846,0.18876395214783662,0.08741433908535017,0.006997351040670727,0.07003769402826929,-0.03402602545562727,0.1274865009999732,300
37,"[0.128367, 0.296733, 0.005432]",0.15847204166420312,0.1821940795026861,0.1496922491339304,0.0052286649926496405,0.057742611883033965,-0.12060512902038645,0.12748645905182807,300
38,"[0.133129, 0.423767, 0.004442]",0.1847679691517187,0.19371104629429928,0.04840166128156407,0.007762042695674328,0.07297926788422729,-0.010411085885471127,0.12748652619861603,300
39,"[0.135985, 0.237471, 0.003177]",0.1487501265444415,0.17480438081616173,0.17515448978385376,0.004385487031145475,0.0533591056651293,-0.18313620371992267,0.12748646553977772,300
40,"[0.142122, 0.421531, 0.022587]",0.2503045277160503,0.21626799049069262,0.13598050413280674,0.008961654661956737,0.08165332504209244,-0.14846351483988873,0.12748649170109186,300
41,"[0.144005, 0.107026, 0.291647]",0.48440480275777104,0.5075747359657421,0.047831756823517146,0.03925190723229497,0.159957649471822,-0.013866587965205568,0.12748700210825017,300
42,"[0.1444444444444444, 0.1, 0.0005]",0.07401935336163296,0.15956309419882334,1.1556940907374915,0.008612694172718871,0.08554374083719042,-5.6509212932913035,0.1274866154668892,500
43,"[0.1444444444444444, 0.1, 0.0173205080756887]",0.1899681065901543,0.1796333365582563,0.054402655652973066,0.007043072249660691,0.06965938914299853,-0.015398413271395794,0.1274865992557001,500
44,"[0.1444444444444444, 0.1, 0.04]",0.2661117963975463,0.2066945226687771,0.223279359653834,0.01900644798268534,0.11357446136117062,-0.22812123960669894,0.1274865850218148,500
45,"[0.1444444444444444, 0.1444444444444444, 0.000625]",0.08090367512084064,0.16394750281852782,1.026452967793123,0.008415077273779565,0.08308744310280786,-4.540609377516985,0.1274865450187094,500
46,"[0.1444444444444444, 0.1444444444444444, 0.000875]",0.08968593479541363,0.1642458029987174,0.8313439566632812,0.007737311643361653,0.07639855874274668,-2.552260104808185,0.12748654473868076,500
47,"[0.1444444444444444, 0.1444444444444444, 0.03]",0.23276398250825595,0.19899777399080346,0.1450662886195975,0.011838469130018972,0.08991550246584563,-0.10657352360677597,0.12748651939648079,500
48,"[0.1444444444444444, 0.1444444444444444, 0.05]",0.2886458220360964,0.22286178840596996,0.2279057111827614,0.020397697904412086,0.12019471587517608,-0.2692903740472432,0.12748651035568548,500
49,"[0.1444444444444444, 0.1444444444444444, 0.06]",0.309423673325794,0.23479379561355312,0.24118993384763845,0.024911576908001096,0.1354511601632033,-0.28795526142112626,0.1274865083884407,500
50,"[0.1444444444444444, 0.1444444444444444, 0.3]",0.47741846349924905,0.5211619685955506,0.09162507846770701,0.03466799886770252,0.146840136964841,-0.05841926964700295,0.1274869718043479,500
51,"[0.1444444444444444, 0.1888888888888888, 0.000875]",0.0930092264982945,0.16848106152832704,0.8114445174637731,0.007496214201136153,0.07582474962348974,-3.1640630210853606,0.12748649236439613,500
52,"[0.1444444444444444, 0.1888888888888888, 0.0173205080756887]",0.20424774823326713,0.18810385361747567,0.07904074323965826,0.007696651509943193,0.07420961793614955,-0.03504900697992741,0.12748647599337357,500
