epoch,train_loss,test_loss
1,-0.7213584516361794,-0.9092865392912266
2,-0.911268746993121,-0.9243247848610545
3,-0.9216294792820425,-0.9487721232480781
4,-0.9311970126628876,-0.9144233115883761
5,-0.9335321744049296,-0.9307362139225006
6,-0.9394490073708927,-0.938573569821757
7,-0.9438764073568232,-0.9684823625309523
8,-0.9448601759882534,-0.9675555438496346
9,-0.9460166990756989,-0.9703594454499178
10,-0.9494359240812413,-0.9568066221336986
11,-0.94902839513386,-0.9707426331764044
12,-0.9529274764481713,-0.9684511680935705
13,-0.9518717471992268,-0.9706004550290662
14,-0.9527995450356427,-0.9619323414425517
15,-0.9544560121087466,-0.9673387198947196
16,-0.9117560433300541,-0.9047409438116606
17,-0.9413760926442988,-0.968990039409593
18,-0.9504886911897098,-0.9694939356903697
19,-0.9529541240018957,-0.9712262549372607
20,-0.9537736437601202,-0.957754481254622
21,-0.9349129689441008,-0.9629972428776498
22,-0.9519551845157848,-0.9543371798687204
23,-0.9555137088719536,-0.9499648875968401
24,-0.9544045742820291,-0.9715478075105091
25,-0.9565585812400369,-0.9684658374897269
26,-0.9553900692042182,-0.9642521500587463
27,-0.9571522639078253,-0.9716910197291263
28,-0.955103909478468,-0.9714689346246941
29,-0.9578077619917252,-0.967386455036873
30,-0.9564349136633031,-0.9649692195792531
31,-0.9576191838348613,-0.9707976711350818
32,-0.9576675096680136,-0.9698016208271648
33,-0.95657446994501,-0.9670245432576468
34,-0.9584362996325774,-0.967128510253374
35,-0.957980084138758,-0.951648003694623
36,-0.9588949183155508,-0.9636811068584753
37,-0.9585560658398796,-0.96607322512671
38,-0.9587281293027541,-0.9693322178929351
39,-0.9601732742786407,-0.9707386844379957
40,-0.9584300196872038,-0.9719480557497158
41,-0.9600047691429363,-0.9451078758683316
42,-0.9594486897833208,-0.9613978778207025
43,-0.9598469368850484,-0.9688115488651187
44,-0.9537394274683559,-0.960902382052222
45,-0.9572802559067222,-0.9424882481264514
46,-0.9573652503770941,-0.9614075596942459
47,-0.9587131194507374,-0.9701951270879701
48,-0.957998353803859,-0.9679221505342528
49,-0.9598953512135674,-0.9693002666151801
50,-0.948423145869199,-0.9655396236929783
