true_value,predicted_mean,relative_error,absolute_error
0.5197271,0.4284101,0.17570181,0.091317
0.40950263,0.4171444,0.018661084,0.0076417625
0.5978869,0.4414453,0.26165757,0.15644163
0.5123428,0.4096653,0.20040786,0.102677524
0.5382834,0.41757697,0.22424328,0.12070644
0.33643064,0.44266495,0.31576884,0.10623431
0.58737326,0.42836487,0.27071097,0.15900838
0.49779677,0.43510643,0.12593563,0.06269035
0.32395655,0.41669303,0.2862621,0.09273648
0.32745737,0.41319132,0.26181713,0.08573395
0.42725694,0.41042587,0.03939332,0.01683107
0.5372545,0.41015387,0.23657437,0.12710065
0.56827503,0.4092677,0.279807,0.15900734
0.4173851,0.4101091,0.01743234,0.0072759986
0.15954442,0.39705864,1.4887025,0.23751421
0.32778612,0.41203845,0.25703445,0.08425233
0.34411517,0.40609938,0.18012635,0.06198421
0.56739223,0.43354142,0.23590526,0.13385081
0.58559585,0.41406146,0.29292282,0.17153439
0.5099097,0.41143805,0.19311585,0.09847164
0.3462515,0.40634444,0.17355292,0.060092956
0.5875823,0.4450361,0.2425978,0.14254618
0.50957847,0.41833135,0.1790639,0.09124711
0.41018748,0.4378711,0.06749015,0.027683616
0.60288566,0.42446604,0.29594272,0.17841962
0.6209282,0.44970042,0.27576104,0.17122781
0.48746815,0.42537382,0.12738131,0.06209433
0.5891557,0.41485915,0.29584122,0.17429653
0.5234914,0.42343238,0.19113782,0.100059
0.59055585,0.4070622,0.31071344,0.18349364
0.35254028,0.39681357,0.12558362,0.044273287
0.33856255,0.4089195,0.20781083,0.070356965
0.41794148,0.41890347,0.0023017316,0.00096198916
0.5043167,0.41113022,0.18477768,0.09318647
0.5069314,0.43447733,0.14292681,0.072454095
0.36921853,0.4129039,0.11831848,0.043685377
0.41073492,0.41469467,0.009640634,0.003959745
0.30743733,0.44586277,0.45025578,0.13842544
0.55840147,0.4149597,0.25687927,0.14344177
0.30437842,0.41868484,0.3755405,0.11430642
0.5001085,0.44193166,0.116328396,0.058176816
0.39316833,0.41696125,0.060515866,0.023792922
0.56922996,0.44566268,0.21707797,0.12356728
0.50915927,0.40633604,0.20194708,0.10282323
0.6233692,0.39982754,0.35860237,0.22354168
0.56382394,0.4159748,0.26222572,0.14784914
0.5006305,0.42364088,0.15378532,0.07698962
0.47190666,0.41047806,0.13017109,0.061428607
0.24977337,0.4159813,0.6654349,0.16620792
0.3622165,0.404322,0.116244,0.042105496
0.59995735,0.44007772,0.26648498,0.15987962
0.5347018,0.42724776,0.20096071,0.10745406
0.41363665,0.42722544,0.032851987,0.013588786
0.43559882,0.4125119,0.053000454,0.023086935
0.5965823,0.4069898,0.3177977,0.18959248
0.55889314,0.43041807,0.22987412,0.12847507
0.46436748,0.41449356,0.10740183,0.04987392
0.5401582,0.41380328,0.23392208,0.12635493
0.16465487,0.4348842,1.6411864,0.27022934
0.45136553,0.44164026,0.021546334,0.009725273
0.3030177,0.42445272,0.40075222,0.12143502
0.5502058,0.4005065,0.27207878,0.14969933
0.57037294,0.42024657,0.26320738,0.15012637
0.55834925,0.38910064,0.3031232,0.16924861
0.32518882,0.41555434,0.27788633,0.09036553
0.14146869,0.42004478,1.969171,0.27857608
0.6048161,0.42942756,0.28998652,0.17538851
0.48780233,0.43387482,0.110551976,0.05392751
0.5453875,0.40441063,0.25848937,0.14097688
0.3892283,0.4387835,0.12731649,0.049555182
0.32288098,0.41126186,0.27372587,0.08838087
0.56400114,0.42928302,0.23886143,0.13471812
0.53264385,0.41432747,0.22213039,0.11831638
0.58337986,0.4137422,0.2907842,0.16963765
0.3902272,0.41940206,0.07476379,0.029174864
0.3043588,0.43213844,0.4198322,0.12777963
0.4881897,0.43980965,0.09910092,0.048380047
0.2123702,0.39959565,0.88159937,0.18722545
0.01993056,0.4170057,19.922918,0.39707512
0.51287204,0.4345281,0.1527553,0.07834393
0.475834,0.40520206,0.14843822,0.07063195
0.5721812,0.41353682,0.2772625,0.15864441
0.23027675,0.43794116,0.9018036,0.20766442
0.5883373,0.4317517,0.26614937,0.1565856
0.176387,0.40571466,1.3001392,0.22932766
0.45808488,0.43581158,0.048622653,0.022273302
0.5847734,0.42203617,0.2782911,0.16273725
0.3823485,0.4417811,0.1554409,0.059432596
0.3422018,0.4539436,0.32653776,0.11174181
0.25301927,0.43702838,0.7272533,0.1840091
0.5774029,0.43563497,0.24552687,0.14176792
0.51489455,0.42194802,0.18051566,0.09294653
0.27800024,0.4195994,0.5093491,0.14159918
0.5984382,0.3937337,0.34206456,0.2047045
0.5508737,0.4005058,0.27296254,0.15036789
0.5728506,0.4106586,0.2831314,0.16219199
0.3831016,0.4126274,0.07707038,0.029525787
0.5482531,0.41550204,0.24213465,0.13275108
0.6007254,0.41399732,0.3108377,0.18672809
0.27098358,0.43840045,0.61781186,0.16741687
0.43407598,0.39547074,0.088936605,0.038605243
0.58813035,0.4162282,0.2922858,0.17190215
0.47722757,0.4222331,0.1152374,0.054994464
0.18690047,0.42988357,1.3000667,0.2429831
0.49645504,0.4220568,0.14985898,0.07439825
0.57293326,0.4321525,0.24571928,0.14078075
0.5007669,0.40040392,0.20041852,0.10036296
0.4778951,0.40785477,0.14656007,0.070040345
0.5697232,0.41486898,0.27180606,0.15485421
0.53072363,0.41305944,0.2217052,0.11766419
0.47891527,0.4129018,0.13783959,0.066013485
0.34950727,0.42760444,0.22344932,0.078097165
0.5472503,0.42291808,0.22719438,0.12433219
0.5758594,0.40674698,0.29366967,0.16911244
0.46083134,0.414489,0.10056248,0.046342343
0.30004737,0.44353783,0.47822604,0.14349046
0.6173915,0.42206413,0.31637526,0.1953274
0.5143335,0.45257214,0.12008036,0.06176135
0.5526075,0.42752102,0.22635679,0.12508646
0.42536902,0.44471717,0.045485552,0.019348145
0.505919,0.3986532,0.21202163,0.10726577
0.59469044,0.4170921,0.29863995,0.17759833
0.5132623,0.4368897,0.14879832,0.076372564
0.3534713,0.4254392,0.20360322,0.0719679
0.5536816,0.42161125,0.23853125,0.13207036
0.29892004,0.4181035,0.3987135,0.11918345
0.4566874,0.42566693,0.06792494,0.031020463
0.5538043,0.41540122,0.2499133,0.13840306
0.60421497,0.40212637,0.33446473,0.2020886
0.133994,0.4328581,2.230429,0.29886413
0.37270737,0.41464195,0.112513416,0.04193458
0.5641644,0.4353092,0.22840008,0.1288552
0.5491024,0.41871056,0.23746365,0.13039187
0.47368217,0.41282347,0.12848003,0.060858697
0.2565171,0.41631046,0.62293446,0.15979335
0.10118322,0.4277013,3.2269979,0.32651806
0.24033038,0.4125862,0.7167459,0.17225583
0.242933,0.3999454,0.64631975,0.1570124
0.2689171,0.4308018,0.6019873,0.1618847
0.5468074,0.4218651,0.22849417,0.1249423
0.39949024,0.42779398,0.07084965,0.028303742
0.50123703,0.41935843,0.16335306,0.0818786
0.3825366,0.42251265,0.10450258,0.03997606
0.17484659,0.42027077,1.4036542,0.24542418
0.23150177,0.4114192,0.7771752,0.17991744
0.5490025,0.44832405,0.18338436,0.10067847
0.3254359,0.42004412,0.2907123,0.09460822
0.40401074,0.42171514,0.0438216,0.017704397
0.20200962,0.4016913,0.988476,0.19968167
0.3429151,0.44533584,0.2986767,0.10242075
0.47609082,0.42666483,0.10381631,0.04942599
0.50818104,0.44183624,0.13055347,0.0663448
0.3999466,0.43393043,0.084970914,0.033983827
0.42528,0.41134277,0.032771904,0.013937235
0.25148743,0.4080863,0.6226906,0.15659887
0.44733006,0.42278883,0.054861568,0.024541229
0.4713485,0.43678543,0.07332805,0.034563065
0.24285834,0.42791045,0.76197547,0.18505211
0.5083263,0.40880102,0.19579013,0.09952527
0.43219155,0.39740992,0.08047736,0.034781635
0.5338676,0.43206024,0.19069776,0.101807356
0.19470511,0.41940197,1.1540366,0.22469686
0.4825481,0.43413892,0.10031988,0.048409164
0.59140563,0.43031418,0.27238742,0.16109145
0.5110524,0.44673827,0.12584649,0.06431416
0.4740886,0.3950456,0.16672622,0.079043
0.589533,0.42613158,0.27717093,0.1634014
0.5527237,0.41987288,0.24035667,0.13285083
0.26847574,0.43211424,0.60950947,0.1636385
0.5808962,0.42600417,0.2666432,0.15489203
0.13827755,0.43130386,2.119117,0.29302633
0.6169702,0.43376368,0.29694545,0.1832065
0.2575606,0.42225108,0.6394241,0.16469046
0.4349603,0.44835752,0.03080101,0.013397217
0.5423116,0.40645558,0.25051287,0.13585603
0.5778288,0.4182611,0.2761505,0.15956771
0.46435094,0.4398271,0.052813124,0.024523824
0.4824983,0.40902716,0.15227231,0.07347113
0.4420011,0.40167457,0.09123628,0.040326536
0.61013585,0.42705435,0.3000668,0.18308151
0.52498746,0.4473576,0.14786994,0.077629864
0.34551236,0.4009334,0.16040252,0.055421054
0.35743704,0.4371457,0.22300057,0.079708666
0.49874726,0.40615898,0.18564168,0.092588276
0.3490234,0.40405586,0.15767556,0.055032462
0.5659223,0.42275488,0.2529807,0.14316744
0.43516892,0.432135,0.0069718584,0.003033936
0.5389253,0.4129068,0.23383296,0.1260185
0.32332164,0.4409063,0.363677,0.117584646
0.16086137,0.403175,1.5063504,0.24231362
0.56321,0.43734428,0.22347921,0.12586573
0.6104226,0.4109877,0.32671613,0.1994349
0.57589114,0.41834,0.273578,0.15755114
0.4643985,0.3970757,0.14496772,0.06732279
0.60700065,0.4229595,0.3031976,0.18404114
0.6070789,0.4220098,0.30485183,0.18506911
0.55585575,0.38659728,0.30450073,0.16925848
0.59627175,0.42470542,0.2877318,0.17156634
0.5666787,0.43993968,0.22365235,0.12673903
0.52771294,0.41824538,0.20743771,0.109467566
0.59905326,0.42298943,0.29390347,0.17606384
0.3977278,0.40692374,0.023121225,0.009195954
0.5247836,0.4471121,0.1480067,0.0776715
0.32465094,0.4147395,0.27749357,0.09008855
0.5549291,0.4324505,0.22071032,0.122478575
0.5104425,0.41785035,0.18139584,0.09259215
0.20163146,0.42709723,1.1182072,0.22546577
0.4147816,0.42874923,0.03367467,0.013967633
0.4456572,0.4375722,0.018141707,0.008084983
0.40179768,0.40859824,0.016925339,0.006800562
0.33886257,0.4254495,0.25552225,0.08658692
0.5733346,0.41927972,0.26869974,0.15405485
0.51310927,0.42110014,0.17931683,0.09200913
0.41993323,0.42901358,0.021623319,0.00908035
0.34003836,0.40823856,0.2005662,0.0682002
0.57473826,0.41940123,0.2702744,0.15533704
0.57120746,0.41946554,0.26565117,0.15174192
0.20270453,0.42750132,1.1089873,0.22479679
0.59016246,0.4288478,0.27333942,0.16131467
0.38774806,0.42202613,0.08840293,0.034278065
0.24566662,0.41198295,0.67700005,0.16631633
0.57861036,0.43238375,0.25272036,0.14622661
0.20210327,0.4458907,1.2062516,0.24378742
0.26044858,0.40453053,0.5532069,0.14408195
0.5947615,0.41739208,0.2982194,0.17736942
0.48554078,0.4006675,0.17480157,0.08487329
0.522973,0.42846152,0.18071961,0.09451148
0.33018646,0.43025294,0.30306053,0.10006648
0.30905756,0.41507152,0.34302333,0.10601395
0.5128227,0.4310491,0.1594578,0.08177358
0.4181839,0.4155194,0.006371614,0.0026645064
0.446831,0.3976747,0.1100109,0.04915628
0.55351716,0.41679674,0.24700303,0.13672042
0.2982502,0.41428855,0.38906378,0.11603835
0.37622657,0.4174064,0.109454885,0.041179836
0.5316227,0.4086311,0.23135133,0.12299162
0.32622954,0.4204008,0.28866562,0.094171256
0.5693047,0.4173922,0.26683867,0.15191251
0.49923015,0.42368528,0.15132272,0.075544864
0.53804386,0.4067518,0.24401736,0.13129205
0.17965044,0.41610423,1.3161881,0.23645379
0.5770189,0.41728187,0.27683157,0.15973705
0.48163983,0.43341574,0.1001248,0.04822409
0.2052322,0.4274351,1.0826901,0.2222029
0.32918322,0.3954239,0.20122735,0.06624067
0.4178049,0.4333999,0.037326008,0.015594989
0.58170176,0.402462,0.30812997,0.17923975
0.3782381,0.40590546,0.07314795,0.027667344
0.2542229,0.4246772,0.6704915,0.1704543
0.5677331,0.4545024,0.19944355,0.113230705
0.42783752,0.4348612,0.016416728,0.007023692
0.28827742,0.43149,0.4967874,0.14321259
0.493984,0.43963125,0.11002939,0.05435276
0.5956756,0.41010708,0.31152612,0.18556851
0.23489223,0.4358931,0.85571516,0.20100085
0.5958762,0.42074755,0.2939011,0.17512867
0.46068636,0.39875868,0.1344248,0.061927676
0.51586175,0.42269084,0.18061218,0.09317091
0.6040522,0.42360777,0.29872322,0.18044442
0.6229057,0.4366359,0.29903364,0.18626976
0.5477194,0.41853026,0.23586741,0.12918916
0.3906469,0.4180937,0.070259884,0.027446806
0.45365053,0.42690474,0.058956828,0.026745796
0.47374278,0.43502098,0.08173592,0.0387218
0.5526287,0.39743885,0.28082117,0.15518984
0.6167456,0.39326558,0.36235365,0.22348002
0.48804218,0.40481368,0.17053546,0.0832285
0.34273404,0.41610703,0.21408142,0.07337299
0.4444827,0.44406435,0.0009412402,0.000418365
0.47610343,0.37411338,0.21421826,0.101990044
0.30566177,0.4434285,0.45071623,0.13776672
0.18172275,0.40390167,1.2226257,0.22217892
0.38752654,0.41650185,0.07476987,0.028975308
0.5584039,0.42397177,0.24074355,0.13443214
0.40970498,0.4179888,0.020218996,0.008283824
0.39941028,0.42073074,0.053379852,0.021320462
0.60028815,0.4120211,0.3136278,0.18826705
0.5830379,0.4577316,0.21491966,0.12530631
0.3402628,0.432608,0.27139378,0.09234521
0.39707205,0.46010405,0.15874198,0.063032
0.16735063,0.41360807,1.4715058,0.24625744
0.48313442,0.41800544,0.1348051,0.06512898
0.3954153,0.43414843,0.097955555,0.038733125
0.52806336,0.427099,0.19119745,0.10096437
0.5380769,0.43469062,0.1921403,0.10338625
0.5691005,0.41362193,0.27320054,0.15547857
0.62963605,0.41245627,0.34492907,0.21717978
0.4761033,0.42473918,0.10788441,0.051364124
0.1479604,0.41931075,1.833939,0.27135035
0.29058865,0.41554427,0.43000862,0.124955624
0.46587542,0.40334633,0.13421847,0.06252909
0.5585376,0.45755708,0.18079449,0.10098052
0.54737103,0.41390845,0.2438247,0.13346258
0.4180603,0.43198422,0.03330599,0.013923913
0.35874543,0.41559622,0.15847112,0.05685079
0.39511776,0.4325205,0.09466229,0.03740275
0.2593627,0.42744473,0.6480578,0.16808203
0.49762267,0.4092216,0.17764682,0.08840108
0.5102496,0.4338237,0.14978142,0.07642591
0.26292625,0.43218917,0.64376575,0.16926292
0.42195636,0.41457194,0.017500434,0.0073844194
