true_value,predicted_mean,relative_error,absolute_error
0.344874,0.33595175,0.02587104,0.008922249
0.22226198,0.3402066,0.5306558,0.11794461
0.3216632,0.36143425,0.1236419,0.03977105
0.31602255,0.35158652,0.1125362,0.035563976
0.30608004,0.3266256,0.06712474,0.020545542
0.43348116,0.35011145,0.19232601,0.0833697
0.52011615,0.3557244,0.3160674,0.16439176
0.44101664,0.36150032,0.1803023,0.07951632
0.5091031,0.33508238,0.34181824,0.17402074
0.47949454,0.33093455,0.30982623,0.14855999
0.37429285,0.3543829,0.053193502,0.019909948
0.45703328,0.34871963,0.23699293,0.10831365
0.2974493,0.35111418,0.18041694,0.053664893
0.25331467,0.37353066,0.47457173,0.12021598
0.37306434,0.33124372,0.11210027,0.041820616
0.29867473,0.3387285,0.13410494,0.040053755
0.397165,0.3415255,0.14009166,0.055639505
0.18203478,0.32923606,0.8086437,0.14720128
0.2391623,0.3378367,0.41258347,0.09867442
0.30729386,0.37729034,0.22778352,0.069996476
0.32823697,0.35108328,0.0696031,0.022846311
0.29722562,0.37858298,0.27372256,0.08135736
0.3645124,0.36381194,0.0019216733,0.0007004738
0.2746699,0.3453884,0.25746736,0.07071853
0.3038469,0.33012676,0.08649049,0.026279867
0.39249906,0.37850058,0.035664998,0.013998479
0.38788882,0.34030408,0.12267624,0.047584742
0.27093259,0.36801833,0.35833913,0.097085744
0.46759236,0.33213255,0.28969637,0.13545981
0.34170812,0.34017643,0.0044824523,0.0015316904
0.16797012,0.34033272,1.0261502,0.1723626
0.3972125,0.34062934,0.14245062,0.056583166
0.42110172,0.32683852,0.223849,0.094263196
0.2968233,0.34789145,0.17204902,0.051068157
0.263073,0.3533766,0.34326443,0.0903036
0.16397168,0.3477412,1.1207392,0.18376951
0.5225145,0.3587132,0.31348664,0.16380131
0.31416848,0.36441422,0.15993243,0.050245732
0.39577934,0.34899345,0.11821206,0.04678589
0.38519612,0.33676383,0.1257341,0.04843229
0.4423955,0.36012024,0.18597673,0.08227527
0.37449086,0.34490356,0.07900673,0.029587299
0.06937375,0.33832163,3.8767955,0.26894787
0.3848438,0.3405085,0.11520338,0.044335306
0.4740104,0.32663703,0.31090748,0.14737338
0.42266113,0.36204955,0.14340466,0.060611576
0.30616677,0.35735106,0.16717783,0.051184297
0.4650153,0.3590053,0.22797097,0.10600999
0.5037017,0.34337446,0.31829798,0.16032723
0.36025965,0.33525637,0.06940351,0.025003284
0.40502968,0.34492314,0.14840035,0.060106546
0.3484821,0.3660895,0.050525956,0.01760739
0.27422866,0.35644257,0.29980057,0.08221391
0.5304264,0.35280532,0.33486468,0.17762107
0.44089875,0.35965374,0.18427135,0.081245005
0.36280707,0.35794654,0.013396984,0.0048605204
0.2681021,0.34250775,0.27752724,0.07440564
0.23404151,0.32766837,0.4000438,0.09362686
0.13871996,0.3352952,1.4170651,0.19657524
0.36300257,0.3253084,0.10383992,0.037694156
0.4583901,0.34621048,0.2447252,0.11217961
0.4055155,0.35451317,0.12577158,0.051002324
0.12736456,0.34116212,1.6786265,0.21379755
0.47385848,0.35038915,0.26056162,0.12346932
0.446163,0.35520014,0.20387809,0.09096286
0.23080152,0.33226815,0.43962717,0.101466626
0.24929641,0.34250644,0.37389234,0.09321003
0.3285495,0.33766884,0.02775634,0.009119332
0.1950173,0.3529542,0.809861,0.15793692
0.2551627,0.3552114,0.39209777,0.10004872
0.47640815,0.34665462,0.2723579,0.12975353
0.46900848,0.35579234,0.24139464,0.11321613
0.36371037,0.35725388,0.017751746,0.0064564943
0.16565953,0.34212357,1.0652211,0.17646404
0.34016526,0.36323524,0.06781991,0.023069978
0.35037404,0.35013428,0.00068429636,0.00023975968
0.4363583,0.35672554,0.18249397,0.07963276
0.41524982,0.34401718,0.17154166,0.07123265
0.4738063,0.3467427,0.26817626,0.1270636
0.50387955,0.33530083,0.33456153,0.16857871
0.49578488,0.33966392,0.31489655,0.15612096
0.4054576,0.3564478,0.120875284,0.0490098
0.30178538,0.34658834,0.14845969,0.044802964
0.28075477,0.34236747,0.21945378,0.061612695
0.3513807,0.34220374,0.026116885,0.0091769695
0.1421308,0.3925132,1.7616332,0.25038236
0.24988401,0.3309946,0.32459298,0.0811106
0.52130985,0.35649303,0.31615904,0.16481683
0.37181777,0.33768955,0.09178749,0.03412822
0.37638167,0.35054228,0.06865209,0.025839388
0.32032225,0.36081436,0.12641057,0.040492117
0.38110828,0.3255406,0.1458055,0.05556768
0.32584265,0.3239769,0.0057259067,0.0018657446
0.47415012,0.32123667,0.32250008,0.15291345
0.22917768,0.38013914,0.6587092,0.15096146
0.360654,0.34690818,0.03811358,0.013745815
0.42472517,0.38301566,0.09820353,0.041709512
0.45415753,0.33964872,0.25213456,0.11450881
0.4988403,0.3375115,0.3234077,0.1613288
