lr,hidden_features,num_layers,num_bins,final_train_loss,final_test_loss,mean_setup_error
0.0003,12,4,10,-1.0360931428687188,-1.0422842963598669,0.08247281610965729
0.0003,12,5,10,-1.0250910381279819,-1.0277044866806209,0.12088393419981003
0.0003,12,6,10,-1.0414179385750126,-1.0490092129379815,0.0913149043917656
0.0003,16,4,10,-1.0389135964780956,-0.9659937894029015,0.1379711925983429
0.0003,16,5,10,-1.0337079587225493,-1.0251092508931108,0.14208203554153442
0.0003,16,6,10,-1.0330867498977205,-1.0417043465497957,0.11905869841575623
