epoch,train_loss,test_loss
1,-0.832424005280961,-0.9136569956014323
2,-0.9195145408546224,-0.9306396215461021
3,-0.9292288761980393,-0.9256828072459199
4,-0.9341794536394231,-0.940986930076466
5,-0.9388419446524452,-0.951655440067136
6,-0.9395692466287052,-0.9595493713783664
7,-0.9408780402996961,-0.9395173883715341
8,-0.9439033701139338,-0.9054781455633252
9,-0.9434775977274951,-0.9633587913457737
10,-0.94450167073923,-0.946747761687567
11,-0.9449974646287805,-0.9605547913285188
12,-0.945107410585179,-0.9583743054506391
13,-0.947576303692425,-0.9653820700423662
14,-0.9483817103329827,-0.9598475485347038
15,-0.9503636255685021,-0.9635105396426001
16,-0.9505951948726878,-0.9251736410828524
17,-0.9509507851039662,-0.9590784001489018
18,-0.9524968157796299,-0.9676213279713032
19,-0.9524619644529679,-0.9691395195417626
20,-0.9528372654494117,-0.9533007345227308
21,-0.9525932061672211,-0.9673162401415581
22,-0.9536376661412856,-0.9654936370461487
23,-0.9544629270188949,-0.9628173939017363
24,-0.9544040474470924,-0.9255665777727615
25,-0.9553508931749007,-0.9673574921003608
26,-0.9549269352239721,-0.9560482002968012
27,-0.9564070953341092,-0.971891089026318
28,-0.9558416861646316,-0.9659864773583967
29,-0.9568255364193636,-0.9708607669486556
30,-0.9566503965153413,-0.9687473008798998
31,-0.9581680276814629,-0.9703973770834678
32,-0.9583737729577457,-0.9656001294768134
33,-0.9576202573495752,-0.9745351383852404
34,-0.9566323714396533,-0.9716316998004914
35,-0.9600942133454715,-0.9739074840102084
36,-0.958445136827581,-0.9522459581147793
37,-0.9609620508726905,-0.9725232453540315
38,-0.9613134070704965,-0.9761792343716289
39,-0.9597197770371156,-0.9707894846450451
40,-0.9564249784104965,-0.9533295794974926
41,-0.9545429414861343,-0.9533518184063047
42,-0.9554164641043719,-0.96037469284479
43,-0.9551534518774818,-0.9670596818591273
44,-0.9554322202766643,-0.9709131903426592
45,-0.9566546169449301,-0.9566810825536417
46,-0.9561401093006134,-0.967622561025065
47,-0.9574127456721138,-0.9626379585543344
48,-0.9562257158756257,-0.9584299267724503
49,-0.9564793902284959,-0.9707850686339445
50,-0.9569876951329849,-0.9697108626365661
