epoch,train_loss,test_loss
1,2.0837544242796238,-0.09772869488764745
2,-0.19151183249132345,0.3500538988423505
3,-0.3525940162100685,-0.45468710385955896
4,-0.5325952554178229,-0.6081166407903943
5,-0.47938164288926827,-0.29757621305447973
6,-0.5743628484239423,-0.5820689872225092
7,-0.6612537141272227,-0.6896887881404787
8,-0.7221734504297511,-0.7664970834246827
9,-0.7586739791017931,-0.7477229115689878
10,-0.8086459360858227,-0.8353684568370823
11,-0.8465500862131002,-0.8707036114339128
12,-0.8613226184774315,-0.8814013283509037
13,-0.8792079900218723,-0.8815485498813893
14,-0.8960962493006581,-0.9193378346288774
15,-0.9100002433119574,-0.9250026728970606
16,-0.9262768784736065,-0.9350649607924064
17,-0.9392122632192623,-0.9582512981541226
18,-0.947413768472099,-0.9737661184151831
19,-0.9550194708137889,-0.978700397135658
20,-0.9606371673225994,-0.9825927838937414
21,-0.9661944046118339,-0.9921118834090924
22,-0.971972774952016,-0.9796773797574965
23,-0.9763399460168958,-0.9945827020338575
24,-0.9801766885767229,-0.9874597036060416
25,-0.9836768045296785,-0.9811804907796936
26,-0.9873491616913975,-0.993066571220603
27,-0.9900110179620674,-1.0088170077842453
28,-0.9926426222938535,-1.0121531029495667
29,-0.9958005262408576,-1.0143505462887141
30,-0.9983647743574029,-1.0017978364709803
31,-1.0003271295397478,-1.0153678670372979
32,-1.0025578317172983,-1.010861926963203
33,-1.0032280992184366,-1.0253545198805707
34,-1.0052688927771836,-1.0053315487127663
35,-1.0065229155779971,-1.0149854901834763
36,-1.0084235944691762,-1.0218390088858966
37,-1.0086212157750203,-1.0182034869776855
38,-1.0099271188934524,-1.011721807508173
39,-1.0119476874548614,-1.023046861615655
40,-1.0122293933863697,-1.0233257086788632
41,-1.0133660048654014,-1.0039005249153836
42,-1.014580529919149,-0.9983340025380406
43,-1.0146474424285368,-0.9904661819516799
44,-1.0156071955355106,-1.0115597835128471
45,-1.0166336291874434,-1.0262322970809028
46,-1.017665465642616,-0.9919873553204251
47,-1.0175392278965483,-1.0260765395626272
48,-1.0184067301112467,-1.0331039138157365
49,-1.0191024320149131,-1.023705568689052
50,-1.019312979172247,-1.0303206612441829
51,-1.020192782431388,-1.007849707525643
52,-1.0209779696352215,-1.032202697804026
53,-1.0213312693053467,-1.022886885673367
54,-1.0218877565896982,-1.007897397167917
55,-1.0223637906704268,-1.02654837294078
56,-1.0226893134437796,-1.0302705960491285
57,-1.0237021937422839,-1.0332460677944149
58,-1.0236548466160666,-1.0333273505900094
59,-1.0243890772383988,-1.0402925833551144
60,-1.023955056596672,-1.0355904910192149
61,-1.0251069681713283,-1.0316051185105644
62,-1.0257262618572516,-1.0275092798034078
63,-1.025190395017163,-1.0380479576822637
64,-1.0256714251537815,-1.0399508860610653
65,-1.0257584460781701,-1.0183972693827168
66,-1.0264131480709036,-1.0218105704711158
67,-1.027181334385937,-1.0375015086306851
68,-1.0269420806624245,-1.0367244389289576
69,-1.0272337444421007,-1.0369755547913269
70,-1.0283234440990494,-1.0401878880174773
71,-1.028698047175777,-1.0435474226950532
72,-1.028793334236261,-1.0395901176519056
73,-1.028703787995327,-1.0394339680531834
74,-1.028993944266647,-1.0408976944513084
75,-1.0296218805807702,-1.0418611687334707
76,-1.0296427391039202,-1.0384974668196596
77,-1.0300929144613649,-1.0426710548956875
78,-1.030931896102646,-1.0420365046277489
79,-1.0310228696845947,-1.0322770478216607
80,-1.030264562227987,-1.0396601777800292
81,-1.0307754827351918,-1.0397665665926787
82,-1.0311559079311177,-1.0389626193155912
83,-1.0309226924162869,-1.0200665296379592
84,-1.0320057740553896,-1.0429869509483258
85,-1.0318159392177153,-1.0376167442115602
86,-1.0323838441658164,-1.0440872302628519
87,-1.0331626110299743,-1.0449091894456755
88,-1.0326488784381322,-0.9889173603810548
89,-1.0331778796701083,-1.0257246866758671
90,-1.033504607240842,-1.0412693614388082
91,-1.0339846782680704,-1.038580223093121
92,-1.033626526911208,-1.0431441296743857
93,-1.0344353814617842,-1.0328531825260192
94,-1.0344861112195307,-1.0402010067067278
95,-1.0345777552178566,-1.0452827107440998
96,-1.0350205791848046,-1.0081451283481748
97,-1.035269367998313,-1.0219019056065803
98,-1.0350550748521072,-1.045235214958368
99,-1.0356245854116501,-1.050238147174539
100,-1.0360931428687188,-1.0422842963598669
